"time","ATS"
2025-03-31 05:30:00,4.18
2025-03-31 05:32:00,4.10
2025-03-31 05:34:00,4.03
2025-03-31 05:36:00,4.01
2025-03-31 05:38:00,4.07
2025-03-31 05:40:00,4.20
2025-03-31 05:42:00,4.07
2025-03-31 05:44:00,3.99
2025-03-31 05:46:00,3.99
2025-03-31 05:48:00,4
2025-03-31 05:50:00,4.08
2025-03-31 05:52:00,4.05
2025-03-31 05:54:00,4
2025-03-31 05:56:00,4
2025-03-31 05:58:00,3.99
2025-03-31 06:00:00,4
2025-03-31 06:02:00,4.02
2025-03-31 06:04:00,4.25
2025-03-31 06:06:00,4.37
2025-03-31 06:08:00,4.41
2025-03-31 06:10:00,4.46
2025-03-31 06:12:00,4.58
2025-03-31 06:14:00,4.68
2025-03-31 06:16:00,4.80
2025-03-31 06:18:00,4.68
2025-03-31 06:20:00,4.69
2025-03-31 06:22:00,4.80
2025-03-31 06:24:00,4.80
2025-03-31 06:26:00,4.70
2025-03-31 06:28:00,4.86
2025-03-31 06:30:00,4.80
2025-03-31 06:32:00,4.68
2025-03-31 06:34:00,4.30
2025-03-31 06:36:00,4.09
2025-03-31 06:38:00,4.13
2025-03-31 06:40:00,4.19
2025-03-31 06:42:00,4.06
2025-03-31 06:44:00,4.19
2025-03-31 06:46:00,4.34
2025-03-31 06:48:00,4.35
2025-03-31 06:50:00,4.58
2025-03-31 06:52:00,4.69
2025-03-31 06:54:00,4.80
2025-03-31 06:56:00,4.80
2025-03-31 06:58:00,4.68
2025-03-31 07:00:00,4.74
2025-03-31 07:02:00,4.72
2025-03-31 07:04:00,4.73
2025-03-31 07:06:00,4.66
2025-03-31 07:08:00,4.39
2025-03-31 07:10:00,4.23
2025-03-31 07:12:00,4.12
2025-03-31 07:14:00,4.08
2025-03-31 07:16:00,4.19
2025-03-31 07:18:00,4.36
2025-03-31 07:20:00,4.51
2025-03-31 07:22:00,4.50
2025-03-31 07:24:00,4.52
2025-03-31 07:26:00,4.33
2025-03-31 07:28:00,4.30
2025-03-31 07:30:00,4.37
2025-03-31 07:32:00,4.43
2025-03-31 07:34:00,4.57
2025-03-31 07:36:00,4.53
2025-03-31 07:38:00,4.40
2025-03-31 07:40:00,4.30
2025-03-31 07:42:00,4.34
2025-03-31 07:44:00,4.34
2025-03-31 07:46:00,3.92
2025-03-31 07:48:00,4.14
2025-03-31 07:50:00,4.18
2025-03-31 07:52:00,4.22
2025-03-31 07:54:00,4.44
2025-03-31 07:56:00,4.39
2025-03-31 07:58:00,4.62
2025-03-31 08:00:00,4.69
2025-03-31 08:02:00,4.80
2025-03-31 08:04:00,4.78
2025-03-31 08:06:00,4.80
2025-03-31 08:08:00,4.80
2025-03-31 08:10:00,4.80
2025-03-31 08:12:00,4.80
2025-03-31 08:14:00,4.81
2025-03-31 08:16:00,4.83
2025-03-31 08:18:00,4.88
2025-03-31 08:20:00,4.74
2025-03-31 08:22:00,4.75
2025-03-31 08:24:00,4.78
2025-03-31 08:26:00,4.79
2025-03-31 08:28:00,4.69
2025-03-31 08:30:00,4.56
2025-03-31 08:32:00,4.41
2025-03-31 08:34:00,4.38
2025-03-31 08:36:00,4.36
2025-03-31 08:38:00,4.69
2025-03-31 08:40:00,4.80
2025-03-31 08:42:00,4.80
2025-03-31 08:44:00,4.82
2025-03-31 08:46:00,4.87
2025-03-31 08:48:00,4.98
2025-03-31 08:50:00,5.01
2025-03-31 08:52:00,5.05
2025-03-31 08:54:00,4.79
2025-03-31 08:56:00,4.82
2025-03-31 08:58:00,4.83
2025-03-31 09:00:00,4.80
2025-03-31 09:02:00,4.61
2025-03-31 09:04:00,4.16
2025-03-31 09:06:00,4.17
2025-03-31 09:08:00,4.17
2025-03-31 09:10:00,4.19
2025-03-31 09:12:00,4.19
2025-03-31 09:14:00,4.33
2025-03-31 09:16:00,4.46
2025-03-31 09:18:00,4.67
2025-03-31 09:20:00,5.06
2025-03-31 09:22:00,5.41
2025-03-31 10:32:00,5.67
2025-03-31 10:34:00,5.14
2025-03-31 10:36:00,5.19
2025-03-31 10:38:00,4.91
2025-03-31 10:40:00,5.10
2025-03-31 10:42:00,5.20
2025-03-31 10:44:00,5.41
2025-03-31 10:46:00,4.97
2025-03-31 10:48:00,4.65
2025-03-31 10:50:00,4.57
